blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12581218,1622986143,0x0bab3bb9a0dcfafd27bacfaa99f58419d91dab789dd581c8e532e0984df6bd3a,57,0xcc9a9561c491ff7cc3fb8f33f1fc17e8843019676247f7644c2db37f42751a8a,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x9b4e791a847cda952d031236fa7fde5b2b36ebeb,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1309903048885543963449626052,Busa Inu,BINU,18,124,179367,14000000000,123910,11160593,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480456
12581221,1622986194,0x7d1a6c98ad11764f264557a6addf1d71733b2817a36f0409485faac3e1ba1def,10,0x1c94b3a4d192b85953b1970fbf3615f2f5be2bb9bb07cdc5df0c35bc3811e479,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xbc0ddbd3f10a213e8c837bc77230e13548d1501f,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,143858669473743338584124491,Busa Inu,BINU,18,163,166654,11000001459,123898,9300794,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480453
12581232,1622986274,0x52afb41ff2e2f119e7cc2b21aea7d88fc154793517d9684f4097749f38c58297,29,0x00d6e67b9d8fbaad07e8ad71fe6590a56381a5aa4e4419def98ba45fdbe77851,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x9111d120599a6c05828ddcc3b2d12ab4d56223c6,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,261444502336272222236210729,Busa Inu,BINU,18,13,179338,16000000000,123886,584305,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480442
12581256,1622986525,0xc49a251518a092df2807e5aaef78269bc05fd2a9f30531afcaded8273abf7299,6,0xea0a4935f43daf52b64fa887b3467b6c4b9eb1befd7207853420012e2fa4038e,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xa3eaa6c5407452fb8f8b380d9a20ed22b087b98a,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1044275113506137335499837055,Busa Inu,BINU,18,128,179367,12000000000,123910,9965082,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480418
12581260,1622986592,0xe0c91d18964dc45f8410bef2b64fe562eceadc9930da61a2dfe48518e8b726ce,581,0xa25ce72b0f891a290de369e692988e1199124c0769bd17d7bd4cd007b34bacca,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x1a8167907256ece255be4563c141c88ee16427ca,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,781630165935111145902579355,Busa Inu,BINU,18,134,179367,11000000000,123910,10252428,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480414
12581293,1622987005,0x4bc6f902090451e0e6a9d52f8caa7386a8a8c422a4259a1241b8249a8642030e,19,0xb8b0c58a38822d46e5a1995edbc51d4d236dafa06d24ecc77c519e7c3e0d4fa8,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x61957054ed3161bfe84dad5abb22e88a97ff4dda,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,10294554102985282202737512691,Busa Inu,BINU,18,50,179367,11000000000,123910,11607308,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480381
12581305,1622987210,0xe4e8453b815c224f5bc0e08f827ca8e2392f6c7008f5ccb754665f3675f459d6,2,0x1ca28e69b2e9819ebba3dc8223cd48e5b3b184a0c33be69ac9bfbb0cb4de2bd9,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x489775b135a804005d6861f3725c9852f39d5965,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,711850125661665402300733063,Busa Inu,BINU,18,125,179353,12000000000,123898,10414135,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480369
12581360,1622987949,0x6a0c307b862f5a4299b3b2f68c82a6a8b434a0a2b1526f5c73b461cdcd1ee0f4,62,0x9292560f2e3dd7565deb34f8c6d7732f0ad3495bd86a7e9f57c6a332c7eea150,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x734658b9e9728fac1e8dc34979e1ce26e6a34cd1,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,19230917644342453285807727815,Busa Inu,BINU,18,82,500290,12100000000,358330,5913970,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480314
12581376,1622988156,0xbfe96d4315d6e931734b6234d18de5876a3738df5764630f0796612f623ffd38,3,0x4f274a33143bf2c5cee5f7564fe5abf1787a7d38f2366c9c308b0a6b7abd534f,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xf845b5842abc4c26889cc7eec0970102ff99b96f,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,416704885570583722059207103,Busa Inu,BINU,18,117,227707,13000000000,166362,9656772,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480298
12581416,1622988570,0x0d3881db7481d7b9a60a10d5b4e41b471b4246bcc6a46ba361132d44a2963cf9,69,0x647e1a5d4a7597cee3cfd3bd281e23e6a9fe4b0c09c9a0437186420065d99f12,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x23d8214f1213355a517ddcdc2451b653d22faba7,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1213294946581572787848670478,Busa Inu,BINU,18,82,179367,16000000000,123910,4656747,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480258
