No.,Chain,address,Losses,Type,Root Causes,Sources,URL
97,ETH,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
98,ETH,0x534a5a5488f4081aee3a9e72bb0ad553eb0e9c7b,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
99,ETH,0x716314375c5015dfd5327a122853cc392ca6afb6,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
100,ETH,0x3f41f6ff370a764f4dd3eee7b5b8ec76cfbb6b91,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
101,ETH,0x910d4d0e099ecdd4b75523d8fba40a7c02e582f3,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
102,ETH,0xd424b0a5d4a4d2ee507f1361331899faedd15bc5,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
103,ETH,0x5a335fbede28c7c24406e369dcea7afa90247e1e,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
104,ETH,0xe6300a5d7c5bf23af11f8d85b0372a7b54a7256f,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
105,ETH,0x8614aba4c29ff33ddb9c350d3a7df971b20bd750,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
106,ETH,0xbe152d374cbeeb1dfba8f0d96e7399376061c682,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
107,ETH,0xcc3170b03ccef4518ac295e09f7e8adf35abdd63,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
